id,question,answer,context,difficulty
146,Какие данные считаются биометрическими персональными данными?,"Сведения, которые характеризуют физиологические и биологические особенности человека, на основании которых можно установить его личность (биометрические персональные данные), могут обрабатываться оператором.","Сведения, которые характеризуют физиологические и биологические особенности человека, на основании которых можно установить его личность (биометрические персональные данные) и которые используются оператором для установления личности субъекта персональных данных, могут обрабатываться только при наличии согласия в письменной форме субъекта персональных данных, за исключением случаев, предусмотренных частью 2 настоящей статьи.",medium
147,При каких условиях оператор может обрабатывать биометрические персональные данные?,Оператор может обрабатывать биометрические персональные данные только при наличии согласия в письменной форме субъекта персональных данных.,"Сведения, которые характеризуют физиологические и биологические особенности человека, на основании которых можно установить его личность (биометрические персональные данные) и которые используются оператором для установления личности субъекта персональных данных, могут обрабатываться только при наличии согласия в письменной форме субъекта персональных данных, за исключением случаев, предусмотренных частью 2 настоящей статьи.",easy
148,В каких случаях обработка биометрических персональных данных может осуществляться без согласия субъекта?,"Обработка биометрических персональных данных может осуществляться без согласия субъекта в связи с реализацией международных договоров, осуществлением правосудия и исполнения судебных актов, проведением обязательной государственной дактилоскопической регистрации, обязательной государственной геномной регистрации, а также в случаях, предусмотренных законодательством об обороне, безопасности, противодействии терроризму, транспортной безопасности, противодействии коррупции, оперативно-разыскной деятельности, государственной службе, уголовно-исполнительном законодательстве и о порядке выезда/въезда.","Обработка биометрических персональных данных может осуществляться без согласия субъекта персональных данных в связи с реализацией международных договоров Российской Федерации о реадмиссии, в связи с осуществлением правосудия и исполнением судебных актов, в связи с проведением обязательной государственной дактилоскопической регистрации, обязательной государственной геномной регистрации, а также в случаях, предусмотренных законодательством Российской Федерации об обороне, о безопасности, о противодействии терроризму, о транспортной безопасности, о противодействии коррупции, об оперативно-разыскной деятельности, государственной службе, уголовно-исполнительном законодательством Российской Федерации, законодательством Российской Федерации о порядке выезда из Российской Федерации и въезда в Российскую Федерацию, о гражданстве Российской Федерации, законодательством Российской Федерации о нотариате.",medium
149,Какие сферы деятельности регулируются использованием биометрических данных без согласия субъекта?,"Использование биометрических данных без согласия субъекта регулируется в сферах международных договоров, правосудия, исполнения судебных актов, государственной дактилоскопической и геномной регистрации, а также в целях обороны, безопасности и борьбы с терроризмом.","Обработка биометрических персональных данных может осуществляться без согласия субъекта персональных данных в связи с реализацией международных договоров Российской Федерации о реадмиссии, в связи с осуществлением правосудия и исполнением судебных актов, в связи с проведением обязательной государственной дактилоскопической регистрации, обязательной государственной геномной регистрации, а также в случаях, предусмотренных законодательством Российской Федерации об обороне, о безопасности, о противодействии терроризму, о транспортной безопасности, о противодействии коррупции, об оперативно-разыскной деятельности, государственной службе, уголовно-исполнительном законодательством Российской Федерации, законодательством Российской Федерации о порядке выезда из Российской Федерации и въезда в Российскую Федерацию, о гражданстве Российской Федерации, законодательством Российской Федерации о нотариате.",hard
150,В каких случаях предоставление биометрических персональных данных не может быть обязательным?,"Предоставление биометрических персональных данных не может быть обязательным, за исключением случаев, предусмотренных частью 2 настоящей статьи.","Предоставление биометрических персональных данных не может быть обязательным, за исключением случаев, предусмотренных частью 2 настоящей статьи.",easy
151,Что определяет право субъекта персональных данных отказаться от предоставления биометрических данных?,"Право субъекта персональных данных отказаться от предоставления биометрических данных определяется тем, что оператор не вправе отказывать в обслуживании в случае отказа субъекта предоставить биометрические данные и (или) дать согласие на обработку персональных данных, если получение согласия оператором не является обязательным согласно федеральному закону.","Оператор не вправе отказывать в обслуживании в случае отказа субъекта персональных данных предоставить биометрические персональные данные и (или) дать согласие на обработку персональных данных, если в соответствии с федеральным законом получение оператором согласия на обработку персональных данных не является обязательным. (часть 3 введена Федеральным законом от 14.07.2022 N 266-ФЗ)",medium
152,Что означает термин «субъект персональных данных» в контексте Федерального закона № 266-ФЗ?,"Субъектом персональных данных является физическое лицо, в отношении которого персональные данные обрабатываются.",(в ред. Федерального закона от 14.07.2022 N 266-ФЗ),medium
153,Какая дата принятия Федерального закона № 266-ФЗ?,Федеральный закон № 266-ФЗ был принят 14 июля 2022 года.,(в ред. Федерального закона от 14.07.2022 N 266-ФЗ),easy
154,На каких основаниях осуществляется трансграничная передача персональных данных?,Трансграничная передача персональных данных осуществляется в соответствии с настоящим Федеральным законом и международными договорами Российской Федерации.,Трансграничная передача персональных данных осуществляется в соответствии с настоящим Федеральным законом и международными договорами Российской Федерации.,easy
155,Какие документы регулируют трансграничную передачу персональных данных?,Трансграничная передача персональных данных осуществляется в соответствии с настоящим Федеральным законом и международными договорами Российской Федерации.,Трансграничная передача персональных данных осуществляется в соответствии с настоящим Федеральным законом и международными договорами Российской Федерации.,easy
156,"Какие страны включаются в перечень иностранных государств, обеспечивающих адекватную защиту прав субъектов персональных данных?","В перечень включаются страны, являющиеся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных, и другие государства, если их нормы права соответствуют Конвенции.","В перечень иностранных государств, обеспечивающих адекватную защиту прав субъектов персональных данных, включаются государства, являющиеся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных, а также иностранные государства, не являющиеся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных, при условии соответствия положениям указанной Конвенции действующих в соответствующем государстве норм права и применяемых мер по обеспечению конфиденциальности и безопасности персональных данных при их обработке.",medium
157,"Какое условие необходимо соблюсти для включения иностранного государства в перечень, обеспечивающий адекватную защиту прав субъектов персональных данных?",Иностранное государство должно соответствовать положениям Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных.,"В перечень иностранных государств, обеспечивающих адекватную защиту прав субъектов персональных данных, включаются государства, являющиеся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных, а также иностранные государства, не являющиеся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных, при условии соответствия положениям указанной Конвенции действующих в соответствующем государстве норм права и применяемых мер по обеспечению конфиденциальности и безопасности персональных данных при их обработке.",easy
158,Что должен сделать оператор перед началом трансграничной передачи персональных данных?,Оператор должен уведомить уполномоченный орган по защите прав субъектов персональных данных о своем намерении осуществлять трансграничную передачу персональных данных.,Оператор до начала осуществления деятельности по трансграничной передаче персональных данных обязан уведомить уполномоченный орган по защите прав субъектов персональных данных о своем намерении осуществлять трансграничную передачу персональных данных.,easy
159,От какого уведомления следует отличать уведомление о трансграничной передаче персональных данных?,"Указанное уведомление направляется отдельно от уведомления о намерении осуществлять обработку персональных данных, предусмотренного статьей 22 настоящего Федерального закона.","Оператор до начала осуществления деятельности по трансграничной передаче персональных данных обязан уведомить уполномоченный орган по защите прав субъектов персональных данных о своем намерении осуществлять трансграничную передачу персональных данных. Указанное уведомление направляется отдельно от уведомления о намерении осуществлять обработку персональных данных, предусмотренного статьей 22 настоящего Федерального закона.",medium
160,Какие сведения должны содержать уведомление о намерении осуществлять трансграничную передачу персональных данных?,"Уведомление о намерении осуществлять трансграничную передачу персональных данных должно содержать наименование оператора, адрес, дату и номер уведомления о намерении, сведения о лице, ответственном за обработку, правовое основание и цель передачи, категории и перечень передаваемых данных, категории субъектов данных и перечень иностранных государств.","Уведомление о намерении осуществлять трансграничную передачу персональных данных должно содержать следующие сведения: 1) наименование (фамилия, имя, отчество), адрес оператора, а также дата и номер уведомления о намерении осуществлять обработку персональных данных, ранее направленного оператором в соответствии со статьей 22 настоящего Федерального закона; 2) наименование (фамилия, имя, отчество) лица, ответственного за организацию обработки персональных данных, номера контактных телефонов, почтовые адреса и адреса электронной почты; 3) правовое основание и цель трансграничной передачи персональных данных и дальнейшей обработки переданных персональных данных; 4) категории и перечень передаваемых персональных данных; 5) категории субъектов персональных данных, персональные данные которых передаются; 6) перечень иностранных государств, на территории которых планируется трансграничная передача персональных данных; 7) дата проведения оператором оценки соблюдения органами власти иностранных государств, иностранными физическими лицами, иностранными юридическими лицами, которым планируется трансграничная передача персональных данных, конфиденциальности персональных данных и обеспечения безопасности персональных данных при их обработке.",medium
161,Какая информация должна быть указана в уведомлении о трансграничной передаче персональных данных?,"В уведомлении должны быть указаны наименование оператора, адрес, контактные данные ответственного лица, правовое основание, цель, категории и перечень данных, а также список стран, куда планируется передача.","Уведомление о намерении осуществлять трансграничную передачу персональных данных должно содержать следующие сведения: 1) наименование (фамилия, имя, отчество), адрес оператора, а также дата и номер уведомления о намерении осуществлять обработку персональных данных, ранее направленного оператором в соответствии со статьей 22 настоящего Федерального закона; 2) наименование (фамилия, имя, отчество) лица, ответственного за организацию обработки персональных данных, номера контактных телефонов, почтовые адреса и адреса электронной почты; 3) правовое основание и цель трансграничной передачи персональных данных и дальнейшей обработки переданных персональных данных; 4) категории и перечень передаваемых персональных данных; 5) категории субъектов персональных данных, персональные данные которых передаются; 6) перечень иностранных государств, на территории которых планируется трансграничная передача персональных данных; 7) дата проведения оператором оценки соблюдения органами власти иностранных государств, иностранными физическими лицами, иностранными юридическими лицами, которым планируется трансграничная передача персональных данных, конфиденциальности персональных данных и обеспечения безопасности персональных данных при их обработке.",easy
162,"Какие сведения обязан получить оператор до подачи уведомления, предусмотренного статьей?","Оператор обязан получить сведения о принимаемых мерах по защите передаваемых персональных данных, об условиях прекращения их обработки, а также о правовом регулировании в области персональных данных иностранного государства.","Оператор до подачи уведомления, предусмотренного частью 3 настоящей статьи, обязан получить от органов власти иностранного государства, иностранных физических лиц, иностранных юридических лиц, которым планируется трансграничная передача персональных данных, следующие сведения: 1) сведения о принимаемых органами власти иностранного государства, иностранными физическими лицами, иностранными юридическими лицами, которым планируется трансграничная передача персональных данных, мерах по защите передаваемых персональных данных и об условиях прекращения их обработки; ",medium
163,"Какую информацию должен предоставить оператор власти иностранного государства, чтобы получить согласие на трансграничную передачу данных?","Оператор должен предоставить информацию о правовом регулировании в области персональных данных иностранного государства, под юрисдикцией которого находятся органы власти иностранного государства, иностранные физические лица, иностранные юридические лица, которым планируется трансграничная передача персональных данных.","2) информация о правовом регулировании в области персональных данных иностранного государства, под юрисдикцией которого находятся органы власти иностранного государства, иностранные физические лица, иностранные юридические лица, которым планируется трансграничная передача персональных данных (в случае, если предполагается осуществление трансграничной передачи персональных данных органам власти иностранного государства, иностранным физическим лицам, иностранным юридическим лицам, находящимся под юрисдикцией иностранного государства, не являющегося стороной Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных и не включенного в перечень иностранных государств, обеспечивающих адекватную защиту прав субъектов персональных данных);",medium
164,В течение какого срока оператор обязан предоставить сведения уполномоченному органу для оценки трансграничной передачи данных?,Оператор обязан предоставить сведения уполномоченному органу в течение десяти рабочих дней с даты получения запроса.,"В целях оценки достоверности сведений, содержащихся в уведомлении оператора о своем намерении осуществлять трансграничную передачу персональных данных, сведения, предусмотренные пунктами 1 - 3 части 5 настоящей статьи, предоставляются оператором по запросу уполномоченного органа по защите прав субъектов персональных данных в течение десяти рабочих дней с даты получения такого запроса.",medium
165,"Что может произойти, если оператор хочет продлить срок предоставления информации?","Оператор может запросить продление срока предоставления информации, направив мотивированное уведомление в адрес уполномоченного органа с указанием причин продления.","Указанный срок может быть продлен, но не более чем на пять рабочих дней в случае направления оператором в адрес уполномоченного органа по защите прав субъектов персональных данных мотивированного уведомления с указанием причин продления срока предоставления запрашиваемой информации.",easy
166,В каких случаях может быть запрещена или ограничена трансграничная передача персональных данных?,"Трансграничная передача персональных данных может быть запрещена или ограничена в целях защиты основ конституционного строя Российской Федерации, нравственности, здоровья, прав и законных интересов граждан, обеспечения обороны страны и безопасности государства, защиты экономических и финансовых интересов Российской Федерации, обеспечения дипломатическими и международно-правовыми средствами защиты прав, свобод и интересов граждан Российской Федерации, суверенитета, безопасности, территориальной целостности Российской Федерации и других ее интересов на международной арене.","Трансграничная передача персональных данных может быть запрещена или ограничена в целях защиты основ конституционного строя Российской Федерации, нравственности, здоровья, прав и законных интересов граждан, обеспечения обороны страны и безопасности государства, защиты экономических и финансовых интересов Российской Федерации, обеспечения дипломатическими и международно-правовыми средствами защиты прав, свобод и интересов граждан Российской Федерации, суверенитета, безопасности, территориальной целостности Российской Федерации и других ее интересов на международной арене с даты принятия уполномоченным органом по защите прав субъектов персональных данных решения, предусмотренного частью 12 настоящей статьи.",medium
167,С какого момента может быть ограничена трансграничная передача персональных данных?,"Трансграничная передача персональных данных может быть ограничена с даты принятия уполномоченным органом по защите прав субъектов персональных данных решения, предусмотренного частью 12 настоящей статьи.","Трансграничная передача персональных данных может быть запрещена или ограничена в целях защиты основ конституционного строя Российской Федерации, нравственности, здоровья, прав и законных интересов граждан, обеспечения обороны страны и безопасности государства, защиты экономических и финансовых интересов Российской Федерации, обеспечения дипломатическими и международно-правовыми средствами защиты прав, свобод и интересов граждан Российской Федерации, суверенитета, безопасности, территориальной целостности Российской Федерации и других ее интересов на международной арене с даты принятия уполномоченным органом по защите прав субъектов персональных данных решения, предусмотренного частью 12 настоящей статьи.",easy
168,Кто принимает решение о запрете или ограничении трансграничной передачи персональных данных?,Решение о запрете или ограничении трансграничной передачи персональных данных принимает уполномоченный орган по защите прав субъектов персональных данных.,"Решение о запрещении или об ограничении трансграничной передачи персональных данных в целях защиты нравственности, здоровья, прав и законных интересов граждан принимается уполномоченным органом по защите прав субъектов персональных данных по результатам рассмотрения уведомления, предусмотренного частью 3 настоящей статьи.",easy
169,В каких целях может приниматься решение об ограничении трансграничной передачи персональных данных?,"Решение об ограничении трансграничной передачи персональных данных принимается в целях защиты нравственности, здоровья, прав и законных интересов граждан.","Решение о запрещении или об ограничении трансграничной передачи персональных данных в целях защиты нравственности, здоровья, прав и законных интересов граждан принимается уполномоченным органом по защите прав субъектов персональных данных по результатам рассмотрения уведомления, предусмотренного частью 3 настоящей статьи.",medium
170,В течение какого срока уполномоченный орган по защите прав субъектов персональных данных должен принять решение о проверке уведомления?,Уполномоченный орган по защите прав субъектов персональных данных должен принять решение в течение десяти рабочих дней с даты поступления уведомления.,"Решение, указанное в части 8 настоящей статьи, принимается уполномоченным органом по защите прав субъектов персональных данных в течение десяти рабочих дней с даты поступления уведомления, предусмотренного частью 3 настоящей статьи, в порядке, установленном Правительством Российской Федерации.",easy
171,"Что происходит, когда уполномоченный орган по защите прав субъектов персональных данных запрашивает информацию у оператора?",Рассмотрение уведомления приостанавливается до даты предоставления оператором запрошенной информации.,В случае направления уполномоченным органом по защите прав субъектов персональных данных запроса в соответствии с частью 6 настоящей статьи рассмотрение такого уведомления приостанавливается до даты предоставления оператором запрошенной информации.,medium
172,Какие страны допускаются для трансграничной передачи персональных данных в соответствии с данной статьей?,"Данные могут быть переданы в иностранные государства, являющиеся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных или включенные в определенный перечень.","После направления уведомления, указанного в части 3 настоящей статьи, оператор вправе осуществлять трансграничную передачу персональных данных на территории указанных в таком уведомлении иностранных государств, являющихся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных или включенных в предусмотренный частью 2 настоящей статьи перечень.",medium
173,Когда оператор имеет право осуществлять трансграничную передачу персональных данных?,"Оператор имеет право осуществлять трансграничную передачу персональных данных после получения уведомления, указанного в части 3 настоящей статьи.","После направления уведомления, указанного в части 3 настоящей статьи, оператор вправе осуществлять трансграничную передачу персональных данных на территории указанных в таком уведомлении иностранных государств, являющихся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных или включенных в предусмотренный частью 2 настоящей статьи перечень.",easy
174,Какие ограничения существуют на трансграничную передачу персональных данных после направления уведомления?,"После направления уведомления, оператор не вправе осуществлять трансграничную передачу персональных данных на территории иностранных государств, не являющихся сторонами Конвенции Совета Европы и не входящих в перечень, указанный в части 2 статьи.","После направления уведомления, предусмотренного частью 3 настоящей статьи, оператор до истечения сроков, указанных в части 9 настоящей статьи, не вправе осуществлять трансграничную передачу персональных данных на территории указанных в уведомлении иностранных государств, не являющихся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных и не включенных в предусмотренный частью 2 настоящей статьи перечень.",medium
175,В каких случаях оператор может осуществлять трансграничную передачу персональных данных?,"Оператор может осуществлять трансграничную передачу персональных данных только в случае, если такая передача необходима для защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц.","Оператор до истечения сроков, указанных в части 9 настоящей статьи, не вправе осуществлять трансграничную передачу персональных данных на территории указанных в уведомлении иностранных государств, не являющихся сторонами Конвенции Совета Европы о защите физических лиц при автоматизированной обработке персональных данных и не включенных в предусмотренный частью 2 настоящей статьи перечень, за исключением случая, если такая трансграничная передача персональных данных необходима для защиты жизни, здоровья, иных жизненно важных интересов субъекта персональных данных или других лиц.",easy
